,inventory_id,film_id,title,length,category,special_features,rating,customer_id,customer_name,email,active,rental_id,rental_date,rental_weekday,rental_duration,rental_rate,amount
0,367,80,BLANKET BEVERLY,148,Family,Trailers,G,130,CHARLOTTE HUNTER,CHARLOTTE.HUNTER@sakilacustomer.org,1,1,2005-May-24th,Tuesday,7,2.99,2.99
1,1525,333,FREAKY POCUS,126,Music,"Trailers,Behind the Scenes",R,459,TOMMY COLLAZO,TOMMY.COLLAZO@sakilacustomer.org,1,2,2005-May-24th,Tuesday,7,2.99,2.99
2,1711,373,GRADUATE LORD,156,Children,"Trailers,Behind the Scenes",G,408,MANUEL MURRELL,MANUEL.MURRELL@sakilacustomer.org,1,3,2005-May-24th,Tuesday,7,2.99,3.99
3,2452,535,LOVE SUICIDES,181,Horror,"Trailers,Behind the Scenes",R,333,ANDREW PURDY,ANDREW.PURDY@sakilacustomer.org,1,4,2005-May-24th,Tuesday,6,0.99,4.99
4,2079,450,IDOLS SNATCHERS,84,Children,Trailers,NC-17,222,DELORES HANSEN,DELORES.HANSEN@sakilacustomer.org,1,5,2005-May-24th,Tuesday,5,2.99,6.99
5,2792,613,MYSTIC TRUMAN,92,Comedy,"Commentaries,Behind the Scenes",NC-17,549,NELSON CHRISTENSON,NELSON.CHRISTENSON@sakilacustomer.org,1,6,2005-May-24th,Tuesday,5,0.99,0.99
6,3995,870,SWARM GOLD,123,Horror,"Trailers,Commentaries",PG-13,269,CASSANDRA WALTERS,CASSANDRA.WALTERS@sakilacustomer.org,1,7,2005-May-24th,Tuesday,4,0.99,1.99
7,2346,510,LAWLESS VISION,181,Animation,"Deleted Scenes,Behind the Scenes",G,239,MINNIE ROMERO,MINNIE.ROMERO@sakilacustomer.org,1,8,2005-May-24th,Tuesday,6,4.99,4.99
8,2580,565,MATRIX SNOWMAN,56,Foreign,"Commentaries,Deleted Scenes,Behind the Scenes",PG-13,126,ELLEN SIMPSON,ELLEN.SIMPSON@sakilacustomer.org,1,9,2005-May-25th,Wednesday,6,4.99,4.99
9,1824,396,HANGING DEEP,62,Drama,"Trailers,Commentaries,Deleted Scenes",G,399,DANNY ISOM,DANNY.ISOM@sakilacustomer.org,1,10,2005-May-25th,Wednesday,5,4.99,5.99
10,4443,971,WHALE BIKINI,109,Foreign,"Commentaries,Deleted Scenes,Behind the Scenes",PG-13,142,APRIL BURNS,APRIL.BURNS@sakilacustomer.org,1,11,2005-May-25th,Wednesday,4,4.99,8.99
11,1584,347,GAMES BOWFINGER,119,Travel,Behind the Scenes,PG-13,261,DEANNA BYRD,DEANNA.BYRD@sakilacustomer.org,1,12,2005-May-25th,Wednesday,7,4.99,4.99
12,2294,499,KING EVOLUTION,184,Family,"Trailers,Deleted Scenes,Behind the Scenes",NC-17,334,RAYMOND MCWHORTER,RAYMOND.MCWHORTER@sakilacustomer.org,1,13,2005-May-25th,Wednesday,3,4.99,6.99
13,2701,593,MONTEREY LABYRINTH,158,Horror,"Trailers,Commentaries",G,446,THEODORE CULP,THEODORE.CULP@sakilacustomer.org,0,14,2005-May-25th,Wednesday,6,0.99,0.99
14,3049,670,PELICAN COMFORTS,48,Documentary,"Commentaries,Deleted Scenes",PG,319,RONALD WEINER,RONALD.WEINER@sakilacustomer.org,1,15,2005-May-25th,Wednesday,4,4.99,9.99
15,389,86,BOOGIE AMELIE,121,Music,"Commentaries,Behind the Scenes",R,316,STEVEN CURLEY,STEVEN.CURLEY@sakilacustomer.org,1,16,2005-May-25th,Wednesday,6,4.99,4.99
16,830,181,CONTACT ANONYMOUS,166,Travel,Commentaries,PG-13,575,ISAAC OGLESBY,ISAAC.OGLESBY@sakilacustomer.org,1,17,2005-May-25th,Wednesday,7,2.99,2.99
17,3376,741,ROMAN PUNK,81,Music,Trailers,NC-17,19,RUTH MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,1,18,2005-May-25th,Wednesday,7,0.99,0.99
18,1941,422,HOLLOW JEOPARDY,136,Sci-Fi,Behind the Scenes,NC-17,456,RONNIE RICKETTS,RONNIE.RICKETTS@sakilacustomer.org,1,19,2005-May-25th,Wednesday,7,4.99,4.99
19,3517,770,SCISSORHANDS SLUMS,147,Foreign,"Commentaries,Deleted Scenes,Behind the Scenes",G,185,ROBERTA HARPER,ROBERTA.HARPER@sakilacustomer.org,1,20,2005-May-25th,Wednesday,5,2.99,2.99
20,146,31,APACHE DIVINE,92,Family,"Commentaries,Deleted Scenes,Behind the Scenes",NC-17,388,CRAIG MORRELL,CRAIG.MORRELL@sakilacustomer.org,1,21,2005-May-25th,Wednesday,5,4.99,4.99
21,727,159,CLOSER BANG,58,Comedy,"Trailers,Behind the Scenes",R,509,RAUL FORTIER,RAUL.FORTIER@sakilacustomer.org,1,22,2005-May-25th,Wednesday,5,4.99,4.99
22,4441,971,WHALE BIKINI,109,Foreign,"Commentaries,Deleted Scenes,Behind the Scenes",PG-13,438,BARRY LOVELACE,BARRY.LOVELACE@sakilacustomer.org,1,23,2005-May-25th,Wednesday,4,4.99,4.99
23,3273,721,REDS POCUS,182,Music,"Trailers,Behind the Scenes",PG-13,350,JUAN FRALEY,JUAN.FRALEY@sakilacustomer.org,1,24,2005-May-25th,Wednesday,7,4.99,4.99
24,3961,863,SUN CONFESSIONS,141,Sci-Fi,"Trailers,Behind the Scenes",R,37,PAMELA BAKER,PAMELA.BAKER@sakilacustomer.org,1,25,2005-May-25th,Wednesday,5,0.99,0.99
25,4371,953,WAIT CIDER,112,Animation,Trailers,PG-13,371,BILLY POULIN,BILLY.POULIN@sakilacustomer.org,1,26,2005-May-25th,Wednesday,3,0.99,3.99
26,1225,271,EASY GLADIATOR,148,Action,"Trailers,Commentaries,Behind the Scenes",G,301,ROBERT BAUGHMAN,ROBERT.BAUGHMAN@sakilacustomer.org,1,27,2005-May-25th,Wednesday,5,4.99,4.99
27,4068,887,THIEF PELICAN,135,Animation,"Deleted Scenes,Behind the Scenes",PG-13,232,CONSTANCE REID,CONSTANCE.REID@sakilacustomer.org,1,28,2005-May-25th,Wednesday,5,4.99,4.99
28,611,132,CHAINSAW UPTOWN,114,Sci-Fi,"Deleted Scenes,Behind the Scenes",PG,44,MARIE TURNER,MARIE.TURNER@sakilacustomer.org,1,29,2005-May-25th,Wednesday,6,0.99,0.99
29,3744,819,SONG HEDWIG,165,Music,"Trailers,Deleted Scenes",PG-13,430,RAY HOULE,RAY.HOULE@sakilacustomer.org,1,30,2005-May-25th,Wednesday,3,0.99,2.99
30,4482,979,WITCHES PANIC,100,Drama,"Commentaries,Behind the Scenes",NC-17,369,FRED WHEAT,FRED.WHEAT@sakilacustomer.org,1,31,2005-May-25th,Wednesday,6,4.99,4.99
