officeCode,officeRegion,officeCountry,officeState,officeCity,employeeFullName,jobTitle,lineManager,customerName,customerCountry,customerState,customerCity,creditLimit,orderNumber,orderDate,requiredDate,shippedDate,orderStatus,productName,productLine,productScale,productVendor,quantityInStock,quantityOrdered,COGS,invoicingPrice,MSRP
2,NA,USA,MA,Boston,"Steve Patterson","Sales Rep",1143,"Online Diecast Creations Co.",USA,NH,Nashua,114200,10100,2003-01-06,2003-01-13,2003-01-10,Shipped,"1917 Grand Touring Sedan","Vintage Cars",1:18,"Welly Diecast Productions",2724,30,86.7,136,170
2,NA,USA,MA,Boston,"Steve Patterson","Sales Rep",1143,"Online Diecast Creations Co.",USA,NH,Nashua,114200,10100,2003-01-06,2003-01-13,2003-01-10,Shipped,"1911 Ford Town Car","Vintage Cars",1:18,"Motor City Art Classics",540,50,33.3,55.09,60.54
2,NA,USA,MA,Boston,"Steve Patterson","Sales Rep",1143,"Online Diecast Creations Co.",USA,NH,Nashua,114200,10100,2003-01-06,2003-01-13,2003-01-10,Shipped,"1932 Alfa Romeo 8C2300 Spider Sport","Vintage Cars",1:18,"Exoto Designs",6553,22,43.26,75.46,92.03
2,NA,USA,MA,Boston,"Steve Patterson","Sales Rep",1143,"Online Diecast Creations Co.",USA,NH,Nashua,114200,10100,2003-01-06,2003-01-13,2003-01-10,Shipped,"1936 Mercedes Benz 500k Roadster","Vintage Cars",1:24,"Red Start Diecast",2081,49,21.75,35.29,41.03
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Blauer See Auto, Co.",Germany,NULL,Frankfurt,59700,10101,2003-01-09,2003-01-18,2003-01-11,Shipped,"1932 Model A Ford J-Coupe","Vintage Cars",1:18,"Autoart Studio Design",9354,25,58.48,108.06,127.13
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Blauer See Auto, Co.",Germany,NULL,Frankfurt,59700,10101,2003-01-09,2003-01-18,2003-01-11,Shipped,"1928 Mercedes-Benz SSK","Vintage Cars",1:18,"Gearbox Collectibles",548,26,72.56,167.06,168.75
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Blauer See Auto, Co.",Germany,NULL,Frankfurt,59700,10101,2003-01-09,2003-01-18,2003-01-11,Shipped,"1939 Chevrolet Deluxe Coupe","Vintage Cars",1:24,"Motor City Art Classics",7332,45,22.57,32.53,33.19
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Blauer See Auto, Co.",Germany,NULL,Frankfurt,59700,10101,2003-01-09,2003-01-18,2003-01-11,Shipped,"1938 Cadillac V-16 Presidential Limousine","Vintage Cars",1:24,"Classic Metal Creations",2847,46,20.61,44.35,44.8
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Vitachrome Inc.",USA,NY,NYC,76400,10102,2003-01-10,2003-01-18,2003-01-14,Shipped,"1937 Lincoln Berline","Vintage Cars",1:18,"Motor City Art Classics",8693,39,60.62,95.55,102.74
3,NA,USA,NY,NYC,"Foon Yue Tseng","Sales Rep",1143,"Vitachrome Inc.",USA,NY,NYC,76400,10102,2003-01-10,2003-01-18,2003-01-14,Shipped,"1936 Mercedes-Benz 500K Special Roadster","Vintage Cars",1:18,"Studio M Art Models",8635,41,24.26,43.13,53.91
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Baane Mini Imports",Norway,NULL,Stavern,81700,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,"1952 Alpine Renault 1300","Classic Cars",1:10,"Classic Metal Creations",7305,26,98.58,214.3,214.3
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Baane Mini Imports",Norway,NULL,Stavern,81700,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,"1962 LanciaA Delta 16V","Classic Cars",1:10,"Second Gear Diecast",6791,42,103.42,119.67,147.74
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Baane Mini Imports",Norway,NULL,Stavern,81700,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,"1958 Setra Bus","Trucks and Buses",1:12,"Welly Diecast Productions",1579,27,77.9,121.64,136.67
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Baane Mini Imports",Norway,NULL,Stavern,81700,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,"1940 Ford Pickup Truck","Trucks and Buses",1:18,"Studio M Art Models",2613,35,58.33,94.5,116.67
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Baane Mini Imports",Norway,NULL,Stavern,81700,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,"1926 Ford Fire Engine","Trucks and Buses",1:18,"Carousel DieCast Legends",2018,22,24.92,58.34,60.77
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Baane Mini Imports",Norway,NULL,Stavern,81700,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,"1913 Ford Model T Speedster","Vintage Cars",1:18,"Carousel DieCast Legends",4189,27,60.78,92.19,101.31
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Baane Mini Imports",Norway,NULL,Stavern,81700,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,"1934 Ford V8 Coupe","Vintage Cars",1:18,"Min Lin Diecast",5649,35,34.35,61.84,62.46
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Baane Mini Imports",Norway,NULL,Stavern,81700,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,"18th Century Vintage Horse Carriage","Vintage Cars",1:18,"Red Start Diecast",5992,25,60.74,86.92,104.72
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Baane Mini Imports",Norway,NULL,Stavern,81700,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,"1917 Maxwell Touring Car","Vintage Cars",1:18,"Exoto Designs",7913,46,57.54,86.31,99.21
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Baane Mini Imports",Norway,NULL,Stavern,81700,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,"1940s Ford truck","Trucks and Buses",1:18,"Motor City Art Classics",3128,36,84.76,98.07,121.08
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Baane Mini Imports",Norway,NULL,Stavern,81700,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,"1939 Cadillac Limousine","Vintage Cars",1:18,"Studio M Art Models",6645,41,23.14,40.75,50.31
